11-19-2022 15:07:35 MONEY FED: 10.010.0
11-19-2022 15:07:46 MONEY FED: 30.030.0
11-19-2022 03:10:15 PM MONEY FED: 10.010.0
11-19-2022 03:16:13 PM MONEY FED: 50.0 50.0
11-19-2022 03:16:23 PM MONEY FED: 70.0 70.0
11-19-2022 03:16:49 PM Papsi B2 70.0 66.55
11-19-2022 03:16:58 PM Preengles D2 70.0 65.2
11-19-2022 03:17:07 PM CHANGE GIVEN: 65.2 0.00
11-19-2022 03:34:15 PM CHANGE GIVEN: 43.5 0.00
11-19-2022 03:58:12 PM MONEY FED: 0.0 10.0
11-19-2022 03:58:25 PM MONEY FED: 10.0 20.0
11-19-2022 03:58:32 PM MONEY FED: 20.0 120.0
11-19-2022 03:58:38 PM MONEY FED: 120.0 170.0
11-19-2022 04:06:36 PM MONEY FED: 0.0 50.0
11-19-2022 04:06:43 PM Preengles D2 0.0 47.65
11-19-2022 04:15:00 PM MONEY FED: 0.0 50.0
11-19-2022 04:15:05 PM Preengles D2 0.0 47.65
11-19-2022 04:15:16 PM Preengles D2 0.0 46.3
11-19-2022 04:17:48 PM MONEY FED: 0.0 50.0
11-19-2022 04:20:09 PM MONEY FED: 0.0 20.0
11-19-2022 04:25:14 PM MONEY FED: 0.0 20.0
11-19-2022 04:26:16 PM MONEY FED: 0.0 20.0
11-19-2022 04:26:24 PM Preengles D2 0.0 17.65
11-19-2022 04:26:35 PM Preengles D2 0.0 16.299999999999997
11-19-2022 04:34:44 PM MONEY FED: 0.0 20.0
11-19-2022 04:35:22 PM MONEY FED: 0.0 10.0
11-19-2022 04:40:03 PM MONEY FED: 0.0 20.0
11-19-2022 04:40:07 PM Preengles D2 0.0 17.65
11-19-2022 04:40:12 PM Preengles D2 0.0 16.299999999999997
